,user_id,poolSymbol,tokenAmount_real_usd
0,0x00000000C2Cf7648c169b25ef1C217864bFa38cC,bnt,315553.30352544883
1,0x00000000C2Cf7648c169b25ef1C217864bFa38cC,dai,45316.051076975506
2,0x00000000C2Cf7648c169b25ef1C217864bFa38cC,enj,5623.9331642120615
3,0x00000000C2Cf7648c169b25ef1C217864bFa38cC,eth,945282.8679532671
4,0x00000000C2Cf7648c169b25ef1C217864bFa38cC,link,462531.2893581108
7,0x0000000484f2217f1A64Eb6d24b5CEe446FaEAe5,dai,2610865.0707400516
8,0x00008818c0EDb78F98184F01B4cB483F0044D990,bnt,250.40345236404298
9,0x00008818c0EDb78F98184F01B4cB483F0044D990,eth,219460.06149240924
10,0x0000E0Ca771e21bD00057F54A68C30D400000000,bnt,6713765.823923516
11,0x0000E0Ca771e21bD00057F54A68C30D400000000,dai,10019.970178572272
12,0x0000E0Ca771e21bD00057F54A68C30D400000000,eth,8159426.905806762
13,0x0000E0Ca771e21bD00057F54A68C30D400000000,link,2422401.9838856887
14,0x0000E0Ca771e21bD00057F54A68C30D400000000,matic,5956.169990113103
16,0x0000E0Ca771e21bD00057F54A68C30D400000000,usdc,6786.018900687401
17,0x0000E0Ca771e21bD00057F54A68C30D400000000,wbtc,626289.3086882291
20,0x00257e9544A1a406C98c6115a5698da2c098e989,bnt,10009.78808805497
21,0x00257e9544A1a406C98c6115a5698da2c098e989,eth,82671.85446064136
22,0x002d56f9139a756eA2d56eD944a5777583b8C852,eth,8358.193632019033
23,0x0032311e56bc34eFDe20B408bb99D986eEA1863A,bnt,4927.9747853270155
24,0x0038AF98d4C3F015F944155850AdB56CD207c76B,link,938652.6958611296
25,0x0055eEE0B148fD548d0C90178A9fc6d66481c72A,bnt,4748.840346640574
26,0x005ff7F807e62c58185234C6E98859D56D2e56F1,bnt,11367.916307023825
27,0x006c1e4157Af798745192646d5478c825B075300,bnt,8779.382325027242
28,0x006c1e4157Af798745192646d5478c825B075300,link,80765.04683023019
29,0x007544453c36D3B9eBe0817Aa73FaAB93504Ce15,bnt,14646.937354740407
30,0x0081eE143F7695A6ad141EC08599cBbb6dbb8859,eth,5212.779723393726
31,0x00A2543D6EC4b50adF8deAC8CE5bB9fDf833E1bf,link,66596.56943899037
32,0x00be00AaD3c3eC8f256E04C44cC5F4516EC829e4,bnt,269.85305641944234
34,0x00dEcFEec5d6D9D77275CFdc1e447cF284Ae13e2,bnt,11657.32888472814
35,0x00fB9B1ebEfded1E03630e86D71c6BabBE619E02,bnt,893.8661644841814
36,0x0122FA24aA8A0997012C4C575cfb06583c0FAdC2,bnt,2660.7805780599383
38,0x012D6ccba95E622A92635cDb878cA2694E1117F9,bnt,3496.745112098234
39,0x01397D1F5C3a524796A5BE2B838e04358389748b,eth,301.8659001521161
40,0x013BEC60fDa078FF94F93dCf3287384c23eeEb7C,bnt,46.346033867632
41,0x013BEC60fDa078FF94F93dCf3287384c23eeEb7C,link,0.0
42,0x013b6C2a5e16Ab6978486293e78fE675eB5EF460,bnt,157638.06872661403
43,0x01485557C2BC6E26c7187ff4cC38d5d9474405D4,link,3346.6045365477858
44,0x014f88D52bC81D04e77A6A7923180b1cbA8Ed6bd,eth,4633.703623204712
45,0x0160746C5e538200a7CB140431872db11297220C,bnt,2538.1817592936104
46,0x0160746C5e538200a7CB140431872db11297220C,link,0.0
48,0x01627a441325932DD7Ad07FFBd6A56bc286a26f4,bnt,580.9907274201665
49,0x016b2dB3629286c77da443291fA3622Cd776A344,bnt,5233.796629769993
50,0x016b2dB3629286c77da443291fA3622Cd776A344,link,0.0
51,0x018a70b83E00b652241C9440C3D71A49695C009D,bnt,12286.968917964943
52,0x019061f6272B28e9d6BaaD2a1D65d0C16Bd8c555,eth,97.6152788723273
53,0x019882789983306222C4B4caB71258189Fd92998,bnt,33710.60192053647
54,0x019882789983306222C4B4caB71258189Fd92998,eth,0.0
55,0x019882789983306222C4B4caB71258189Fd92998,link,0.0
56,0x01A601773d5f6EF735252A319f3575376b6bDA31,link,26353.59971670344
57,0x01A6314BA5B96C8fc9C2459B675D47b215e3dE92,bnt,3249.948577914468
58,0x01A6314BA5B96C8fc9C2459B675D47b215e3dE92,matic,0.0
59,0x01B654791b9f76b05158bf466E04fA755564d787,bnt,2126.178156880029
60,0x01D07347ef0cA54bbf85F03611c93897c8E9D652,bnt,14284.739239397657
61,0x01Da72EEc8Cc2B520EaBa33906a2771888D327Bb,bnt,2153.8757734711126
62,0x01Da72EEc8Cc2B520EaBa33906a2771888D327Bb,eth,0.0
