,amount,tkn_dayTrader,tkn_tknProvider,tkn_bntProvider,tkn_masterVault,tkn_epVault,bnt_dayTrader,bnt_tknProvider,bnt_bntProvider,bnt_masterVault,bntkn_dayTrader,bntkn_tknProvider,bntkn_bntProvider,bnbnt_dayTrader,bnbnt_tknProvider,bnbnt_bntProvider,bnbnt_bntPool,bntCurrentPoolFunding,tknStakedBalance,bntStakedBalance,tknTradingLiquidity,bntTradingLiquidity,action
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,depositTKN
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,enableTrading
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,depositTKN
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,depositBNT
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tradeTKN
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2258031259093188453738947519316507160225601264592258354245454939945688870414414127197863616218481447385406639293452958204241890600E-24,0,0,2.497088327593880965524175829425308800626120674818110216552570067572456053777875576003260058854081379416643828828616603407433536523800E-23,tradeBNT
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9657293196259526481926917746056062508088168928601768096935416638357031028772572647677193906771945801310133606476760296232898529467700E-22,3.7645018489148603230558604830512953637856707096993004924920272252175465770085940829675049746453373252424299300734142164759917781424739685915761115900E-7,0,-3.2258031259093188453738947519316507160225601264592258354245454939945688870414414127197863616218481447385406639293452958204241890600E-24,0,0,2.497088327593880965524175829425308800626120674818110216552570067572456053777875576003260058854081379416643828828616603407433536523800E-23,depositBNT
7,0,0,0,0,0,0,0,0,0,1.248543695698250120887583603445042859019519217891572234045473416099606434467469739155564348448693064484470936477033480060439594747800E-23,0,3.20299289989757231221416544641831127796006751416017272925620984449000249300054134072532892153479054069290667600429542236759183176000E-24,0,0,0,6.9657293196259526481926917746056062508088168928601768096935416638357031028772572647677193906771945801310133606476760296232898529467700E-22,1.8467606844334646402176529359016353517169368842445006023862052573728300828777101051130860248559060910119360601055467997770518141888990958237634901800E-7,1.249271449703756888852977454661560087776045134729111232816533867275771151399579963527521344706352858820020296405823784196546751413200E-23,-3.2029895977140322525401679682396090889067366054538281057680588791664041776251202021461745605568911912509055062271965755501502743000E-24,1.249271449703756888852977454661560087776045134729111232816533867275771151399579963527521344706352858820020296405823784196546751413200E-23,2.913075740242124887829796790688752668522937752688097734596788147159374183165045984167438797409080357511475917967281249029753450188900E-23,3.745632491390821448286263744137963200939181012227165324828855101358684080666813364004890088281122069124965743242924905111150304785700E-23,depositTKN
8,0,0,0,0,0,0,0,0,0,1.248510492834277000093585405521475467485401568257571376176207548970644088371384758431257933003203825549202143719241522596338664921300E-23,0,3.20299289989757231221416544641831127796006751416017272925620984449000249300054134072532892153479054069290667600429542236759183176000E-24,0,0,0,6.9657293196259526481926917746056062508088168928601768096935416638357031028772572647677193906771945801310133606476760296232898529467700E-22,1.8467606844334646402176529359016353517169368842445006023862052573728300828777101051130860248559060910119360601055467997770518141888990958237634901800E-7,1.249271449703756888852977454661560087776045134729111232816533867275771151399579963527521344706352858820020296405823784196546751413200E-23,0,1.249271449703756888852977454661560087776045134729111232816533867275771151399579963527521344706352858820020296405823784196546751413200E-23,2.913153016870326359265912971733856882574221912956632221164111059791775573015742007264997166798008304518497180698960559740812874085200E-23,4.994043910038058748100129660347543947366296128596715330529183260115709499776636259672172304091587787367012755429977525391353297590800E-23,tradeBNT
9,0,0,0,0,0,0,-1.87839152799470717971033559018294807769970120253281710594214999376119739284988769744775975124477789017050718485291505851847021727208000E-20,0,0,2.497084527632225366169525526590933426773238893887375404816565283405221208199578616954079647436636148441437639115249246227501138587400E-23,0,3.20299289989757231221416544641831127796006751416017272925620984449000249300054134072532892153479054069290667600429542236759183176000E-24,0,0,0,6.9657293196259526481926917746056062508088168928601768096935416638357031028772572647677193906771945801310133606476760296232898529467700E-22,1.8467606844334646402176529359016353517169368842445006023862052573728300828777101051130860248559060910119360601055467997770518141888990958237634901800E-7,1.249271385926491980363674916618177269567953674962792519049707804112397584930021710107180290251942782798179244969699195822692264004200E-23,0,1.249271385926491980363674916618177269567953674962792519049707804112397584930021710107180290251942782798179244969699195822692264004200E-23,2.913078701619227706643360795052882410819631591384895657423286827040602093961210410853704910675988387558254293972258160374400848753900E-23,6.242713822208699273833401785541585150239107424567499421210752548772782114212070855449093097867562337759203550386741136930804254979100E-23,tradeTKN
10,0,0,0,0,0,0,-1.87839152799470717971033559018294807769970120253281710594214999376119739284988769744775975124477789017050718485291505851847021727208000E-20,0,0,2.497084527632225366169525526590933426773238893887375404816565283405221208199578616954079647436636148441437639115249246227501138587400E-23,0,3.20299289989757231221416544641831127796006751416017272925620984449000249300054134072532892153479054069290667600429542236759183176000E-24,0,0,0,5.0817148636240479562409113701816760164978815206968753948181614241377388316069418974217707997856016893243803351000801853830579120025300E-22,4.4792081353368295701978677890599402580283214876122835106118179694991774301346503708836960622349336991560711199295350139918574579291260708929132151400E-7,1.249271385926491980363674916618177269567953674962792519049707804112397584930021710107180290251942782798179244969699195822692264004200E-23,0,1.249271385926491980363674916618177269567953674962792519049707804112397584930021710107180290251942782798179244969699195822692264004200E-23,2.913078701619227706643360795052882410819631591384895657423286827040602093961210410853704910675988387558254293972258160374400848753900E-23,6.242713822208699273833401785541585150239107424567499421210752548772782114212070855449093097867562337759203550386741136930804254979100E-23,depositBNT
